Symbol,Company Name,Market Cap,% Change,Volume,Revenue
SXC,"SunCoke Energy, Inc.",816.53M,0.73%,731458,1.94B
NEXA,Nexa Resources S.A.,815.82M,0.49%,9259,2.66B
OEC,Orion S.A.,809.81M,3.85%,336909,1.91B
CRML,Critical Metals Corp.,766.52M,9.17%,86363,117.66K
REX,REX American Resources Corporation,740.98M,2.08%,95449,671.88M
IE,Ivanhoe Electric Inc.,734.78M,2.52%,488445,3.24M
GSM,Ferroglobe PLC,730.87M,1.04%,422138,1.65B
SVM,Silvercorp Metals Inc.,715.74M,4.13%,5263691,241.36M
LAC,Lithium Americas Corp.,663.52M,6.62%,4454786,-
ARMN,Aris Mining Corporation,633.86M,2.75%,457734,484.51M
MTUS,Metallus Inc.,626.37M,2.29%,246351,1.17B
VZLA,Vizsla Silver Corp.,622.76M,6.80%,2254519,-
ODC,Oil-Dri Corporation of America,621.58M,1.48%,21412,454.09M
LXU,"LSB Industries, Inc.",608.78M,3.41%,199798,520.11M
KOP,Koppers Holdings Inc.,598.14M,2.97%,99214,2.13B
TMC,TMC the metals company Inc.,591.25M,-2.81%,5633055,-
TGB,Taseko Mines Limited,589.27M,6.01%,2111155,439.68M
VHI,"Valhi, Inc.",586.27M,1.57%,6369,2.08B
SLSR,Solaris Resources Inc.,565.08M,-,-,-
GPRE,Green Plains Inc.,561.82M,0.70%,806145,2.59B
METC,"Ramaco Resources, Inc.",525.26M,5.40%,381125,698.13M
LVRO,Lavoro Limited,521.76M,1.13%,4722,1.67B
METCB,"Ramaco Resources, Inc.",518.10M,2.92%,35056,698.13M
CLW,Clearwater Paper Corporation,506.97M,-0.84%,229563,2.21B
RYAM,Rayonier Advanced Materials Inc.,504.26M,-0.65%,702991,1.63B
MATV,"Mativ Holdings, Inc.",503.15M,2.09%,310742,1.97B
CMP,"Compass Minerals International, Inc.",496.34M,4.18%,437543,1.12B
CPAC,Cementos Pacasmayo S.A.A.,488.31M,1.72%,4142,527.80M
LZM,Lifezone Metals Limited,470.80M,0.87%,61282,1.02M
