Symbol,Company Name,Market Cap,% Change,Volume,Revenue
DDS,"Dillard's, Inc.",7.44B,1.36%,121173,6.70B
MNSO,MINISO Group Holding Limited,7.38B,4.22%,501143,2.50B
ALV,"Autoliv, Inc.",7.33B,0.37%,573812,10.39B
BFAM,Bright Horizons Family Solutions Inc.,7.08B,0.37%,623555,2.63B
CHH,"Choice Hotels International, Inc.",6.99B,0.85%,315900,779.01M
BWA,BorgWarner Inc.,6.85B,0.55%,2472204,14.17B
BYD,Boyd Gaming Corporation,6.78B,-0.20%,633855,3.84B
TMHC,Taylor Morrison Home Corporation,6.65B,2.13%,1528439,7.83B
LTH,"Life Time Group Holdings, Inc.",6.32B,2.83%,1551248,2.52B
MTN,"Vail Resorts, Inc.",6.27B,-0.40%,435062,2.89B
ZK,ZEEKR Intelligent Technology Holding Limited,6.25B,0.88%,559481,9.91B
MAT,"Mattel, Inc.",6.09B,1.63%,4845005,5.38B
ETSY,"Etsy, Inc.",6.07B,-1.55%,2029635,2.80B
GPI,"Group 1 Automotive, Inc.",5.96B,2.21%,107193,19.93B
W,Wayfair Inc.,5.94B,3.20%,1819782,11.84B
GNTX,Gentex Corporation,5.85B,2.19%,2654249,2.31B
SLGN,Silgan Holdings Inc.,5.85B,-0.11%,737947,5.85B
REYN,Reynolds Consumer Products Inc.,5.84B,-1.07%,874005,3.68B
ABG,"Asbury Automotive Group, Inc.",5.79B,2.16%,171050,17.19B
ANF,Abercrombie & Fitch Co.,5.78B,-0.65%,2102850,4.82B
CROX,"Crocs, Inc.",5.67B,0.56%,1099223,4.07B
MTH,Meritage Homes Corporation,5.60B,1.59%,1309116,6.40B
WHR,Whirlpool Corporation,5.54B,1.19%,1631501,16.61B
THO,"THOR Industries, Inc.",5.41B,1.50%,350148,9.69B
IBP,"Installed Building Products, Inc.",5.39B,2.76%,238791,2.91B
SKY,"Champion Homes, Inc.",5.32B,1.15%,1042165,2.43B
FIVE,"Five Below, Inc.",5.18B,2.08%,925124,3.82B
MOD,Modine Manufacturing Company,5.17B,2.11%,1810654,2.54B
RRR,"Red Rock Resorts, Inc.",5.10B,-0.21%,229488,1.91B
URBN,"Urban Outfitters, Inc.",5.10B,2.96%,1499723,5.40B
