Symbol,Company Name,Market Cap,% Change,Volume,Revenue
CAAP,Corporación América Airports S.A.,3.15B,-1.01%,63151,1.50B
CAR,"Avis Budget Group, Inc.",3.13B,1.68%,442725,11.84B
HAYW,"Hayward Holdings, Inc.",3.07B,-0.56%,1058949,1.00B
TRN,"Trinity Industries, Inc.",3.06B,1.89%,370050,3.25B
MGRC,McGrath RentCorp,3.01B,0.38%,141257,888.78M
NSP,"Insperity, Inc.",2.82B,1.78%,309413,6.55B
POWL,"Powell Industries, Inc.",2.81B,-1.13%,428848,1.01B
MAN,ManpowerGroup Inc.,2.77B,0.94%,437790,17.85B
HAFN,Hafnia Limited,2.75B,3.93%,2290009,3.04B
HUBG,"Hub Group, Inc.",2.69B,1.27%,318797,3.96B
AZZ,AZZ Inc.,2.62B,1.89%,104566,1.59B
ENOV,Enovis Corporation,2.62B,1.86%,408110,2.00B
ATS,ATS Corporation,2.61B,1.79%,101325,1.91B
MRCY,"Mercury Systems, Inc.",2.51B,0.24%,622987,884.38M
EPAC,Enerpac Tool Group Corp.,2.46B,0.04%,144382,592.74M
SEB,Seaboard Corporation,2.40B,0.82%,2112,8.90B
HI,"Hillenbrand, Inc.",2.38B,3.05%,295804,3.18B
AIR,AAR Corp.,2.38B,0.48%,149128,2.57B
ENR,"Energizer Holdings, Inc.",2.37B,-3.27%,1452357,2.90B
HNI,HNI Corporation,2.31B,1.81%,315375,2.56B
SXI,Standex International Corporation,2.28B,2.06%,94197,717.74M
MYRG,MYR Group Inc.,2.27B,-0.25%,77720,3.54B
ATKR,Atkore Inc.,2.23B,-19.56%,4703984,3.07B
ARCB,ArcBest Corporation,2.22B,4.38%,363112,4.18B
ENVX,Enovix Corporation,2.21B,-0.93%,4180675,20.74M
ICFI,"ICF International, Inc.",2.19B,-0.66%,146472,2.00B
ALG,Alamo Group Inc.,2.19B,0.70%,63432,1.66B
WERN,"Werner Enterprises, Inc.",2.16B,-0.31%,920152,3.10B
JBLU,JetBlue Airways Corporation,2.14B,2.32%,15267641,9.28B
ZIM,ZIM Integrated Shipping Services Ltd.,2.12B,2.27%,3521392,7.47B
VSEC,VSE Corporation,2.11B,1.38%,72395,1.02B
WOR,"Worthington Enterprises, Inc.",2.10B,1.82%,199338,1.17B
CXW,"CoreCivic, Inc.",2.08B,-5.65%,1861364,1.97B
HURN,Huron Consulting Group Inc.,2.04B,-1.48%,86535,1.44B
GBX,"The Greenbrier Companies, Inc.",2.02B,2.57%,235350,3.61B
BWLP,BW LPG Limited,1.97B,4.94%,323572,3.60B
HLMN,Hillman Solutions Corp.,1.95B,1.95%,465443,1.47B
TGI,"Triumph Group, Inc.",1.94B,0.04%,9291308,1.21B
PL,Planet Labs PBC,1.93B,5.39%,8892862,241.65M
GOGL,Golden Ocean Group Limited,1.89B,4.99%,2585307,1.01B
CDLR,Cadeler A/S,1.87B,1.87%,33642,201.00M
SBLK,Star Bulk Carriers Corp.,1.85B,3.49%,1587660,1.22B
NPWR,NET Power Inc.,1.85B,1.66%,343001,250.00K
ULCC,"Frontier Group Holdings, Inc.",1.84B,-0.61%,2988941,3.66B
KMT,Kennametal Inc.,1.82B,0.26%,1245741,2.02B
ROCK,"Gibraltar Industries, Inc.",1.81B,1.46%,161292,1.34B
VSTS,Vestis Corporation,1.80B,-1.37%,1976986,2.77B
PRG,"PROG Holdings, Inc.",1.79B,1.20%,124762,2.42B
PLUG,Plug Power Inc.,1.78B,4.84%,64742684,659.51M
AGX,"Argan, Inc.",1.78B,-2.20%,407704,806.26M
REVG,"REV Group, Inc.",1.76B,1.20%,380937,2.38B
ALGT,Allegiant Travel Company,1.76B,1.33%,568082,2.51B
XMTR,"Xometry, Inc.",1.73B,-1.80%,740022,525.13M
VVX,"V2X, Inc.",1.62B,0.37%,84507,4.20B
TNC,Tennant Company,1.60B,1.25%,52435,1.27B
RDW,Redwire Corporation,1.60B,7.66%,1760103,298.03M
DNOW,DNOW Inc.,1.60B,1.27%,638661,2.36B
PBI,Pitney Bowes Inc.,1.58B,0.58%,1029706,3.22B
LZ,"LegalZoom.com, Inc.",1.57B,2.37%,951050,678.84M
CODI,Compass Diversified,1.56B,-0.58%,107506,2.22B
DAC,Danaos Corporation,1.55B,2.13%,73698,1.01B
DXPE,"DXP Enterprises, Inc.",1.55B,0.56%,182521,1.74B
BV,"BrightView Holdings, Inc.",1.54B,3.67%,383398,2.77B
CMPO,"CompoSecure, Inc.",1.52B,0.32%,642520,419.61M
