Symbol,Company Name,Market Cap,% Change,Volume,Revenue
BRSP,"BrightSpire Capital, Inc.",740.50M,2.70%,3274184,378.10M
GOOD,Gladstone Commercial Corporation,709.06M,0.06%,162672,147.92M
ORC,"Orchid Island Capital, Inc.",701.45M,0.48%,2295463,54.41M
TRTX,"TPG RE Finance Trust, Inc.",691.93M,2.64%,337446,133.09M
WSR,Whitestone REIT,687.36M,0.90%,92853,149.45M
DHC,Diversified Healthcare Trust,634.55M,4.78%,1121186,1.48B
STRW,"Strawberry Fields REIT, Inc.",634.19M,1.88%,48410,112.05M
RMR,The RMR Group Inc.,604.73M,2.15%,114109,196.92M
CTO,"CTO Realty Growth, Inc.",595.03M,0.46%,193652,118.66M
FRPH,"FRP Holdings, Inc.",580.43M,-0.91%,53360,31.41M
FPI,Farmland Partners Inc.,569.01M,0.17%,195717,58.47M
CHCT,Community Healthcare Trust Incorporated,563.40M,1.01%,163049,115.61M
OLP,"One Liberty Properties, Inc.",552.21M,0.47%,26313,89.14M
UHT,Universal Health Realty Income Trust,550.10M,1.30%,53221,99.90M
NYMT,"New York Mortgage Trust, Inc.",547.10M,0.83%,334038,252.54M
GMRE,Global Medical REIT Inc.,544.79M,0.25%,224630,136.59M
IVR,Invesco Mortgage Capital Inc.,517.42M,2.16%,1180883,102.89M
CMTG,"Claros Mortgage Trust, Inc.",493.34M,5.67%,240696,50.58M
FVR,"FrontView REIT, Inc.",492.19M,3.27%,114753,58.66M
NLOP,Net Lease Office Properties,472.09M,1.11%,159745,160.91M
SVC,Service Properties Trust,464.95M,1.82%,1517672,1.88B
HPP,"Hudson Pacific Properties, Inc.",463.11M,5.26%,2685904,847.71M
CLDT,Chatham Lodging Trust,435.10M,0.12%,106783,313.27M
MLP,"Maui Land & Pineapple Company, Inc.",400.68M,2.92%,7501,12.20M
HOUS,Anywhere Real Estate Inc.,397.20M,4.08%,396144,5.58B
LAND,Gladstone Land Corporation,395.14M,1.68%,215245,88.45M
PKST,Peakstone Realty Trust,385.65M,0.95%,84692,233.20M
PSTL,"Postal Realty Trust, Inc.",381.05M,1.21%,73141,72.01M
NREF,"NexPoint Real Estate Finance, Inc.",347.62M,-0.19%,22860,73.16M
BRT,BRT Apartments Corp.,346.73M,0.92%,18841,96.74M
SEG,Seaport Entertainment Group Inc.,337.83M,-0.37%,69239,111.49M
ACRE,Ares Commercial Real Estate Corporation,318.70M,2.99%,407782,39.42M
RMAX,"RE/MAX Holdings, Inc.",315.57M,2.45%,79077,311.82M
LPA,Logistic Properties of the Americas,310.72M,-0.09%,20129,44.31M
REFI,"Chicago Atlantic Real Estate Finance, Inc.",301.39M,0.92%,107317,56.86M
NEN,New England Realty Associates Limited Partnership,290.61M,-,-,81.17M
LSEA,Landsea Homes Corporation,285.55M,-0.38%,231308,1.46B
PINE,"Alpine Income Property Trust, Inc.",264.53M,0.41%,58459,50.02M
ILPT,Industrial Logistics Properties Trust,255.32M,0.78%,161090,440.70M
AOMR,"Angel Oak Mortgage REIT, Inc.",242.17M,1.68%,60710,94.44M
ARL,"American Realty Investors, Inc.",235.34M,1.18%,846,51.03M
TCI,"Transcontinental Realty Investors, Inc.",231.71M,1.28%,1722,49.82M
OZ,"Belpointe PREP, LLC",231.50M,-0.18%,12657,2.09M
ONL,Orion Office REIT Inc.,226.59M,1.25%,149157,169.64M
CIO,"City Office REIT, Inc.",210.01M,1.55%,71570,173.53M
SRG,Seritage Growth Properties,205.38M,-,106520,56.36M
MITT,"AG Mortgage Investment Trust, Inc.",203.32M,0.44%,154151,80.74M
BHR,Braemar Hotels & Resorts Inc.,202.00M,3.79%,203160,732.34M
SEVN,Seven Hills Realty Trust,196.12M,1.15%,29920,30.40M
FSP,Franklin Street Properties Corp.,184.35M,1.14%,104745,126.51M
AFCG,Advanced Flower Capital Inc.,183.30M,1.95%,109519,43.16M
EQC,Equity Commonwealth,180.58M,-1.75%,367137,58.43M
CLPR,Clipper Realty Inc.,172.97M,1.49%,153041,145.60M
DOUG,Douglas Elliman Inc.,172.09M,2.66%,920735,966.44M
AXR,AMREP Corporation,163.13M,3.16%,8402,63.22M
MDV,"Modiv Industrial, Inc.",162.87M,2.55%,43380,47.42M
STRS,Stratus Properties Inc.,155.90M,1.42%,4357,48.16M
RPT,Rithm Property Trust Inc.,148.98M,6.84%,668952,-55.49M
BHM,"Bluerock Homes Trust, Inc.",147.29M,-0.03%,3139,58.20M
GPMT,Granite Point Mortgage Trust Inc.,146.38M,5.02%,372381,-140.09M
LFT,"Lument Finance Trust, Inc.",140.14M,2.68%,124451,36.40M
ACR,ACRES Commercial Realty Corp.,132.50M,4.23%,27433,77.44M
STHO,Star Holdings,113.62M,-2.29%,96675,117.75M
CHMI,Cherry Hill Mortgage Investment Corporation,106.97M,1.22%,351599,-2.60M
MAYS,"J.W. Mays, Inc.",83.65M,-,2,21.81M
SUNS,"Sunrise Realty Trust, Inc.",82.20M,1.45%,106070,734.23K
CHCI,"Comstock Holding Companies, Inc.",80.79M,-0.12%,32247,45.40M
AIRE,reAlpha Tech Corp.,71.55M,15.56%,637437,379.24K
LOAN,"Manhattan Bridge Capital, Inc.",63.94M,-,6353,7.39M
OPAD,Offerpad Solutions Inc.,61.55M,1.35%,26578,985.01M
SELF,"Global Self Storage, Inc.",57.70M,-0.58%,15058,12.32M
SACH,Sachem Capital Corp.,55.89M,2.59%,405708,10.95M
OPI,Office Properties Income Trust,52.66M,0.46%,240748,517.51M
RFL,"Rafael Holdings, Inc.",49.60M,-0.99%,16145,697.00K
AHT,"Ashford Hospitality Trust, Inc.",44.39M,0.52%,22502,1.22B
IHT,InnSuites Hospitality Trust,30.59M,0.39%,1444,7.69M
FTHM,Fathom Holdings Inc.,30.54M,8.00%,83830,317.52M
MKZR,"MacKenzie Realty Capital, Inc.",29.15M,-7.73%,15094,17.56M
NYC,American Strategic Investment Co.,27.09M,1.40%,6268,62.06M
LRE,"Lead Real Estate Co., Ltd",22.51M,-2.94%,298,117.80M
GYRO,"Gyrodyne, LLC",19.84M,-0.11%,1300,2.74M
ASPS,Altisource Portfolio Solutions S.A.,19.34M,9.28%,141630,153.28M
DUO,Fangdd Network Group Ltd.,18.47M,1.79%,1337579,37.35M
WETH,Wetouch Technology Inc.,16.70M,-4.11%,239085,41.02M
MDRR,"Medalist Diversified REIT, Inc.",16.60M,-2.23%,85,9.92M
XHG,XChange TEC.INC,15.87M,-7.38%,345830,41.11M
SOHO,Sotherly Hotels Inc.,15.78M,-2.34%,79185,179.86M
XIN,"Xinyuan Real Estate Co., Ltd.",15.36M,-,5911,667.14M
GIPR,"Generation Income Properties, Inc.",9.60M,1.72%,9523,10.22M
AEI,Alset Inc.,9.48M,0.10%,99529,13.19M
OMH,Ohmyhome Limited,8.63M,7.94%,74223,5.39M
SQFT,"Presidio Property Trust, Inc.",8.23M,-2.19%,40195,18.59M
LRHC,La Rosa Holdings Corp.,7.99M,-3.51%,917535,63.17M
CMCT,Creative Media & Community Trust Corporation,7.89M,0.08%,106296,124.60M
GBR,"New Concept Energy, Inc.",6.47M,-3.08%,66897,147.00K
PW,Power REIT,4.25M,6.27%,17011,3.15M
ALBT,Avalon GloboCare Corp.,3.72M,1.80%,8071,-8.32M
UOKA,MDJM Ltd,2.91M,-21.85%,11343280,114.85K
SGD,Safe and Green Development Corporation,2.23M,1.35%,74991,173.19K
WHLR,"Wheeler Real Estate Investment Trust, Inc.",1.95M,-2.95%,132536,102.75M
UK,Ucommune International Ltd,1.67M,-2.52%,13151,42.47M
