Symbol,Company Name,Market Cap,% Change,Volume,Revenue
CMCM,Cheetah Mobile Inc.,139.56M,4.94%,14749,105.08M
GAIA,"Gaia, Inc.",131.28M,0.18%,5280,86.64M
SKLZ,Skillz Inc.,119.00M,0.60%,89034,106.20M
LVO,"LiveOne, Inc.",118.15M,-5.73%,840487,127.82M
SIFY,Sify Technologies Limited,105.11M,8.52%,101311,465.33M
BZFD,"BuzzFeed, Inc.",99.18M,8.30%,554675,231.67M
WIMI,WiMi Hologram Cloud Inc.,91.86M,5.10%,1784593,84.14M
MCHX,"Marchex, Inc.",89.23M,0.98%,10501,48.59M
SNAL,"Snail, Inc.",85.73M,-,58917,86.82M
LEE,"Lee Enterprises, Incorporated",83.50M,1.43%,11211,611.38M
ICLK,iClick Interactive Asia Group Limited,80.48M,8.12%,38002,130.44M
SGA,"Saga Communications, Inc.",79.46M,1.28%,5854,110.67M
FNGR,"FingerMotion, Inc.",74.28M,4.00%,113053,33.57M
MCTR,Ctrl Group Limited,69.15M,-5.92%,90597,5.19M
AREN,"The Arena Group Holdings, Inc.",67.40M,-2.07%,15185,234.40M
CCG,Cheche Group Inc.,67.02M,0.10%,167799,478.62M
CNVS,Cineverse Corp.,59.84M,1.89%,71447,45.01M
FLNT,"Fluent, Inc.",57.95M,-2.42%,4834,261.98M
PODC,"PodcastOne, Inc.",54.99M,-3.43%,24178,47.46M
MDIA,MediaCo Holding Inc.,54.60M,-,100804,69.30M
BODI,"The Beachbody Company, Inc.",53.93M,1.30%,2417,451.43M
AGAE,Allied Gaming & Entertainment Inc.,50.29M,3.66%,5804,9.26M
UCL,uCloudlink Group Inc.,48.74M,-1.52%,151658,87.41M
ANGH,Anghami Inc.,48.41M,-0.82%,17892,52.27M
ABLV,Able View Global Inc.,45.59M,-2.23%,8095,130.09M
IZEA,"IZEA Worldwide, Inc.",44.96M,3.92%,17861,33.77M
MNY,MoneyHero Limited,44.25M,-3.18%,47735,90.19M
UONE,"Urban One, Inc.",41.86M,1.89%,3687,452.89M
SJ,Scienjoy Holding Corporation,41.64M,12.05%,31824,205.41M
KORE,"KORE Group Holdings, Inc.",38.95M,-3.38%,24713,285.23M
SCOR,"comScore, Inc.",37.31M,7.01%,4813,356.21M
DALN,DallasNews Corporation,37.31M,-,7081,128.29M
ZDGE,"Zedge, Inc.",36.91M,0.38%,25765,30.20M
RDI,"Reading International, Inc.",35.43M,-4.24%,68489,197.27M
MPU,Mega Matrix Inc.,33.15M,-4.00%,49736,26.00M
GAME,"GameSquare Holdings, Inc.",29.70M,4.83%,290936,99.07M
TZUP,Thumzup Media Corporation,29.48M,-4.56%,161326,211.00
GIFT,"Giftify, Inc.",28.00M,16.29%,102473,86.44M
CHR,"Cheer Holding, Inc.",26.74M,3.59%,49299,155.95M
FENG,Phoenix New Media Limited,26.48M,-0.41%,2012,99.43M
TOON,Kartoon Studios Inc.,22.72M,1.25%,81712,31.98M
SWAG,"Stran & Company, Inc.",20.47M,8.91%,18818,76.00M
KUKE,Kuke Music Holding Limited,20.06M,-0.63%,29377,14.78M
STBX,Starbox Group Holdings Ltd.,19.16M,-2.95%,351212,12.21M
DRCT,"Direct Digital Holdings, Inc.",17.12M,-,133629,94.22M
