Symbol,Company Name,Market Cap,% Change,Volume,Revenue
PBT,Permian Basin Royalty Trust,520.15M,1.45%,87703,37.74M
NOA,North American Construction Group Ltd.,506.68M,1.78%,31033,874.21M
GFR,Greenfire Resources Ltd.,461.27M,4.08%,84234,551.35M
GPRK,GeoPark Limited,460.74M,-1.64%,1137347,716.84M
HNRG,Hallador Energy Company,455.15M,0.28%,205171,429.36M
SMC,Summit Midstream Corporation,454.81M,3.49%,72852,450.86M
SD,"SandRidge Energy, Inc.",451.12M,1.93%,193785,120.24M
CLCO,Cool Company Ltd.,448.14M,-0.94%,126341,333.65M
EGY,"VAALCO Energy, Inc.",432.61M,2.96%,809783,506.42M
SGU,"Star Group, L.P.",432.22M,6.02%,43195,1.77B
OBE,Obsidian Energy Ltd.,402.75M,8.00%,631997,516.16M
URG,Ur-Energy Inc.,391.65M,4.81%,2946556,16.49M
RNGR,"Ranger Energy Services, Inc.",374.61M,2.56%,48551,579.50M
PNRG,PrimeEnergy Resources Corporation,366.31M,1.66%,24418,210.06M
TBN,Tamboran Resources Corporation,354.71M,0.29%,33075,-
BRY,Berry Corporation,339.30M,3.76%,628303,806.73M
NGS,"Natural Gas Services Group, Inc.",335.37M,2.44%,43217,152.31M
UROY,Uranium Royalty Corp.,325.66M,4.74%,1723015,27.48M
OIS,"Oil States International, Inc.",325.65M,3.82%,272882,736.26M
FTK,"Flotek Industries, Inc.",270.65M,6.51%,203110,178.46M
REI,"Ring Energy, Inc.",261.62M,-,1434747,365.61M
KGEI,Kolibri Global Energy Inc.,249.44M,0.67%,172176,54.65M
WTI,"W&T Offshore, Inc.",232.82M,1.94%,796510,537.26M
NC,"NACCO Industries, Inc.",231.61M,0.76%,10191,224.05M
FET,"Forum Energy Technologies, Inc.",222.21M,2.78%,24026,800.61M
AMPY,Amplify Energy Corp.,216.49M,3.83%,168538,304.65M
GTE,Gran Tierra Energy Inc.,211.03M,5.19%,245262,629.50M
EP,Empire Petroleum Corporation,199.44M,0.68%,14372,43.25M
PROP,Prairie Operating Co.,197.39M,-2.05%,124425,1.55M
SJT,San Juan Basin Royalty Trust,187.83M,1.00%,153509,11.03M
DLNG,Dynagas LNG Partners LP,177.93M,2.33%,179532,151.69M
EPM,Evolution Petroleum Corporation,177.08M,3.05%,126063,87.17M
PHX,PHX Minerals Inc.,145.80M,3.46%,72762,31.94M
MMLP,Martin Midstream Partners L.P.,142.49M,-0.28%,85125,717.40M
UFG,Uni-Fuels Holdings Limited,141.24M,-9.65%,516133,130.67M
EPSN,Epsilon Energy Ltd.,136.17M,3.83%,29866,31.15M
LSE,"Leishen Energy Holding Co., Ltd.",127.58M,-0.79%,7391,83.74M
GEOS,Geospace Technologies Corporation,121.07M,5.89%,43603,135.60M
SLNG,"Stabilis Solutions, Inc.",117.09M,-10.76%,51248,74.04M
BROG,Brooge Energy Limited,115.07M,0.96%,3875,73.02M
DTI,Drilling Tools International Corporation,109.27M,0.33%,74198,149.79M
AMTX,"Aemetis, Inc.",107.43M,0.47%,793974,291.40M
SND,"Smart Sand, Inc.",100.43M,0.86%,62193,281.96M
AE,"Adams Resources & Energy, Inc.",97.77M,-,6983,2.78B
IMPP,Imperial Petroleum Inc.,91.90M,4.12%,174800,151.15M
KLXE,"KLX Energy Services Holdings, Inc.",84.47M,-0.99%,167176,738.00M
NCSM,"NCS Multistage Holdings, Inc.",74.08M,2.28%,2355,152.80M
PED,PEDEVCO Corp.,70.52M,2.20%,31829,35.72M
USEG,U.S. Energy Corp.,69.16M,-9.96%,3280538,22.26M
VOC,VOC Energy Trust,65.11M,1.86%,51412,14.50M
CRT,Cross Timbers Royalty Trust,63.84M,0.09%,13125,7.71M
RCON,"Recon Technology, Ltd.",61.80M,-0.09%,4064,9.48M
NINE,"Nine Energy Service, Inc.",50.84M,5.26%,1294861,556.75M
PRT,PermRock Royalty Trust,50.73M,-2.57%,78906,6.06M
PVL,Permianville Royalty Trust,47.19M,-1.38%,63433,3.14M
NRT,North European Oil Royalty Trust,44.57M,-3.00%,21068,5.86M
DWSN,Dawson Geophysical Company,42.14M,-3.55%,7463,82.78M
PXS,Pyxis Tankers Inc.,41.39M,2.64%,32347,52.76M
VIVK,"Vivakor, Inc.",33.64M,1.20%,17898,61.99M
BANL,CBL International Limited,31.38M,2.81%,4246,521.17M
BATL,Battalion Oil Corporation,29.95M,-9.00%,112513,191.48M
CGBS,Crown LNG Holdings Limited,29.31M,-6.84%,1453095,-
INDO,Indonesia Energy Corporation Limited,29.08M,1.81%,245703,3.13M
