Symbol,Company Name,Market Cap,% Change,Volume,Revenue
NGVC,"Natural Grocers by Vitamin Cottage, Inc.",1.06B,5.05%,96394,1.24B
DAO,"Youdao, Inc.",1.01B,5.34%,94449,822.10M
AGRO,Adecoagro S.A.,972.07M,1.05%,298846,1.41B
STKL,SunOpta Inc.,881.69M,0.96%,261486,711.68M
JBSS,"John B. Sanfilippo & Son, Inc.",820.02M,0.36%,97031,1.12B
AVO,"Mission Produce, Inc.",814.81M,-1.79%,253491,1.23B
MGPI,"MGP Ingredients, Inc.",734.56M,-3.13%,435906,737.72M
DDL,Dingdong (Cayman) Limited,717.16M,-,373049,3.16B
WEST,Westrock Coffee Company,636.71M,-0.44%,148472,836.72M
HNST,"The Honest Company, Inc.",631.01M,1.46%,2015016,368.77M
SPTN,SpartanNash Company,630.88M,2.58%,289682,9.53B
USNA,"USANA Health Sciences, Inc.",601.71M,-0.22%,134990,861.97M
GOTU,Gaotu Techedu Inc.,582.42M,7.01%,1795307,559.69M
BRCC,BRC Inc.,578.66M,5.43%,1773672,405.26M
HLF,Herbalife Ltd.,543.27M,1.70%,1404403,5.00B
LINC,Lincoln Educational Services Corporation,538.92M,6.07%,287127,423.21M
VLGEA,"Village Super Market, Inc.",507.47M,0.82%,33906,2.26B
SENEA,Seneca Foods Corporation,505.37M,1.48%,14558,1.48B
SENEB,Seneca Foods Corporation,502.70M,-3.94%,6,1.48B
BGS,"B&G Foods, Inc.",502.69M,-0.94%,1336288,1.96B
FC,Franklin Covey Co.,497.08M,2.31%,96013,287.92M
ZSPC,"zSpace, Inc.",492.77M,-8.78%,103788,41.62M
SNDL,SNDL Inc.,464.63M,5.42%,2780036,674.50M
HAIN,"The Hain Celestial Group, Inc.",445.56M,2.92%,1334133,1.71B
CDXC,ChromaDex Corporation,421.41M,0.27%,266422,91.67M
LMNR,Limoneira Company,403.43M,-0.84%,58116,191.50M
CVGW,"Calavo Growers, Inc.",398.84M,-0.22%,139554,661.54M
APEI,"American Public Education, Inc.",389.49M,1.15%,61647,613.25M
LND,BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,386.87M,0.53%,37512,216.81M
EWCZ,"European Wax Center, Inc.",386.07M,1.19%,181648,223.50M
LWAY,"Lifeway Foods, Inc.",338.04M,-0.54%,58885,181.98M
NUS,"Nu Skin Enterprises, Inc.",323.62M,1.40%,397814,1.78B
OTLY,Oatly Group AB,323.44M,-7.07%,4296808,813.47M
LFVN,LifeVantage Corporation,297.35M,9.76%,544498,196.01M
MAMA,"Mama's Creations, Inc.",290.92M,2.25%,133717,116.47M
ZVIA,Zevia PBC,275.99M,0.27%,515730,153.39M
ISPR,Ispire Technology Inc.,269.64M,3.48%,21978,148.38M
NATR,"Nature's Sunshine Products, Inc.",261.61M,2.16%,19552,445.10M
AFRI,Forafric Global PLC,258.04M,-,5613,325.10M
BYND,"Beyond Meat, Inc.",250.38M,1.32%,1717841,323.47M
SKIL,Skillsoft Corp.,247.18M,4.23%,37244,534.78M
ALCO,"Alico, Inc.",234.05M,1.46%,41066,46.64M
WILC,G. Willi-Food International Ltd.,228.74M,0.52%,10859,154.48M
VSTA,Vasta Platform Limited,222.88M,-1.42%,14138,280.87M
SKIN,The Beauty Health Company,201.08M,-2.41%,506375,347.62M
NAMI,Jinxin Technology Holding Company,183.67M,19.00%,42822,56.13M
PHH,"Park Ha Biological Technology Co., Ltd.",161.92M,-0.48%,18729,1.94M
LXEH,"Lixiang Education Holding Co., Ltd.",155.83M,50.56%,903471,5.63M
CHGG,"Chegg, Inc.",155.42M,3.47%,1825811,662.08M
FTLF,"FitLife Brands, Inc.",146.36M,1.76%,3709,62.76M
HFFG,HF Foods Group Inc.,146.08M,3.36%,58230,1.18B
ACU,Acme United Corporation,140.30M,4.57%,8037,190.49M
BRLS,Borealis Foods Inc.,128.28M,-1.64%,680,28.37M
COE,51Talk Online Education Group,121.75M,5.85%,21816,41.92M
QSG,QuantaSing Group Limited,120.12M,-1.26%,36607,532.70M
DSY,Big Tree Cloud Holdings Limited,111.31M,3.17%,67729,7.32M
LGCY,Legacy Education Inc.,105.21M,1.79%,34355,49.64M
BRID,Bridgford Foods Corporation,93.49M,1.48%,1031,223.65M
PAVS,Paranovus Entertainment Technology Ltd.,90.23M,-0.74%,681,6.54M
STG,Sunlands Technology Group,89.95M,-3.10%,4942,292.03M
IH,iHuman Inc.,88.78M,0.62%,24926,134.00M
VFF,"Village Farms International, Inc.",83.02M,1.73%,130456,327.85M
DIT,AMCON Distributing Company,77.46M,-5.88%,390,2.20B
LSF,"Laird Superfood, Inc.",74.58M,-2.68%,25030,40.90M
GROV,"Grove Collaborative Holdings, Inc.",62.96M,3.23%,303455,213.78M
MYND,"Mynd.ai, Inc.",58.43M,0.79%,37297,357.05M
BEDU,Bright Scholar Education Holdings Limited,52.62M,-4.32%,1908,231.46M
UG,"United-Guardian, Inc.",51.36M,-0.71%,3878,12.31M
BRFH,"Barfresh Food Group, Inc.",49.55M,-11.58%,9283,9.85M
FARM,Farmer Bros. Co.,40.99M,6.08%,74762,344.27M
CLNN,Clene Inc.,37.11M,1.75%,32486,421.00K
SHOT,"Safety Shot, Inc.",30.48M,7.80%,258355,652.50K
WVVI,"Willamette Valley Vineyards, Inc.",29.41M,2.67%,13699,39.26M
SOWG,Sow Good Inc.,29.10M,-0.70%,33344,40.13M
ORIS,Oriental Rise Holdings Limited,28.62M,2.36%,126925,16.75M
JVA,"Coffee Holding Co., Inc.",28.54M,12.87%,408534,78.56M
GNS,Genius Group Limited,28.35M,-1.32%,1595151,16.15M
COOT,Australian Oilseeds Holdings Limited,28.10M,-1.63%,9209,22.50M
AACG,ATA Creativity Global,25.40M,2.50%,14684,35.75M
NAII,"Natural Alternatives International, Inc.",24.55M,-1.89%,16396,112.98M
DTCK,Davis Commodities Limited,23.28M,-,15572,159.84M
FEDU,Four Seasons Education (Cayman) Inc.,23.03M,8.34%,5336,27.97M
MTEX,"Mannatech, Incorporated",22.58M,-0.66%,2455,121.55M
MSS,Maison Solutions Inc.,21.46M,-,23082,91.19M
RAY,Raytech Holding Limited,20.96M,-,12422,9.94M
SANW,S&W Seed Company,20.63M,-1.63%,14911,57.99M
PLAG,Planet Green Holdings Corp.,19.59M,5.08%,11802,16.97M
LOCL,Local Bounti Corporation,18.78M,2.84%,2168,34.93M
BOF,BranchOut Food Inc.,17.59M,-4.27%,170796,6.49M
SDOT,Sadot Group Inc.,15.73M,4.98%,22256,655.94M
EDTK,Skillful Craftsman Education Technology Limited,15.02M,-5.74%,668,624.37K
RMCF,"Rocky Mountain Chocolate Factory, Inc.",14.18M,1.37%,19477,27.94M
ABVE,Above Food Ingredients Inc.,13.93M,5.95%,114860,275.38M
YQ,17 Education & Technology Group Inc.,13.91M,-3.76%,4156,28.51M
EEIQ,EpicQuest Education Group International Limited,13.13M,-0.98%,260,8.15M
YHC,LQR House Inc.,12.90M,-6.36%,43746,2.27M
NCRA,"Nocera, Inc.",12.90M,-5.15%,7175,20.48M
VINE,"Fresh Vine Wine, Inc.",12.78M,8.40%,110026,477.74K
SBEV,"Splash Beverage Group, Inc.",12.34M,-2.44%,1586321,6.26M
DDC,DDC Enterprise Limited,12.25M,-3.33%,115566,32.88M
KAVL,"Kaival Brands Innovations Group, Inc.",9.29M,-2.14%,114090,10.11M
WAFU,Wah Fu Education Group Limited,7.89M,2.29%,20466,7.22M
IMG,CIMG Inc.,7.16M,0.70%,120063,3.79M
AMBO,Ambow Education Holding Ltd.,7.09M,2.88%,4235,7.84M
TCTM,TCTM Kids IT Education Inc.,6.75M,-2.40%,7227428,190.00M
CTCX,Carmell Corporation,6.64M,-7.46%,253223,32.84K
RKDA,"Arcadia Biosciences, Inc.",6.62M,-3.00%,8741,5.48M
GSUN,Golden Sun Health Technology Group Limited,6.02M,3.40%,1397,6.34M
IBG,Innovation Beverage Group Limited,6.01M,-1.91%,89919,3.15M
TWG,Top Wealth Group Holding Limited,5.75M,-5.52%,724894,14.38M
GV,Visionary Holdings Inc.,5.67M,5.86%,52374,9.38M
CASK,"Heritage Distilling Holding Company, Inc.",5.48M,0.85%,96234,7.52M
ATPC,Agape ATP Corporation,5.47M,-1.44%,89240,1.35M
EDBL,Edible Garden AG Incorporated,3.97M,-4.37%,1301693,14.07M
FAMI,"Farmmi, Inc.",3.61M,0.20%,346952,64.13M
BTTR,Better Choice Company Inc.,3.44M,-2.59%,20376,33.52M
BLNE,"Eastside Distilling, Inc.",3.24M,0.61%,207484,9.54M
AGRI,AgriFORCE Growing Systems Ltd.,3.22M,-3.70%,152380,57.60K
SNAX,"Stryve Foods, Inc.",3.03M,-0.27%,90438,19.36M
AQB,"AquaBounty Technologies, Inc.",3.02M,0.68%,73174,1.26M
GNLN,"Greenlane Holdings, Inc.",2.86M,-2.88%,57036,21.61M
CLEU,China Liberal Education Holdings Limited,2.79M,-9.09%,29977204,2.41M
SISI,"Shineco, Inc.",2.48M,-2.05%,20495,10.33M
XXII,"22nd Century Group, Inc.",2.18M,-2.00%,101322,17.30M
TANH,Tantech Holdings Ltd,1.19M,0.49%,1228997,49.10M
STKH,Steakholder Foods Ltd.,432.63K,2.56%,32703,-
